Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
HP,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"99,990","1,20,928",17,4.5
ASUS,Intel Celeron Dual Core,Chrome,4,LPDDR4X,,15.6,"16,990","19,990",15,3.9
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Samsung,Intel Core i7,Windows 11,16,LPDDR4X,512 GB,15.6,"69,990","89,689",21,4.4
ASUS,Intel Core i3,Windows 11 Home,16,DDR4,512 GB,15.6,"45,990","56,990",19,4.3
Lenovo,Intel Core i5,Windows 11,16,LPDDR5,1 TB,14,"56,699","78,590",27,4.2
ASUS,Intel Core i3,Windows 11,8,DDR4,512 GB,15.6,"30,990","54,990",43,4.3
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
HP,AMD Ryzen 5 Quad Core,32 bit Windows 11 Home,8,DDR4,512 GB,14,"38,750","59,980",35,4.1
Lenovo,AMD Ryzen 3 Quad Core,Windows 11,8,DDR4,512 GB,14,"37,899","85,371",55,4.2
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
Acer,Intel Pentium Quad Core,Windows 11,16,DDR4,512 GB,14,"34,990","35,990",2,4.1
Lenovo,Intel Pentium Quad Core,Chrome,4,LPDDR5,,14,"17,990","36,690",50,3.6
Lenovo,MediaTek MediaTek Kompanio 528,Chrome,4,LPDDR4X,,11.6,"15,690","34,888",55,3.9
Primebook,MediaTek Helio G99 (MT8781),64 bit Android,8,LPDDR4X,,15.6,"29,990","34,990",14,4.4
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
ASUS,AMD Ryzen 5 Quad Core,Windows 11 Home,8,LPDDR5,512 GB,15.6,"38,990","50,990",23,4.3
Acer,Intel Core Ultra 7,64 bit Windows 11 Home,32,LPDDR5,1 TB,14,"73,990","99,999",26,4.1
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
HP,Intel Core i7,Windows 11 Home,16,DDR4,512 GB,15.6,"72,990","77,507",5,4.3
Acer,Intel Core i3,Windows 11,8,DDR4,512 GB,14,"37,990","49,999",24,4.3
HP,AMD Ryzen 5 Quad Core,64 bit Windows 11,8,DDR4,512 GB,15.6,"39,990","55,691",28,4.1
Acer,AMD Ryzen 7 Octa Core,64 bit Windows 11,16,DDR4,1 TB,15.6,"49,938","68,999",27,4.1
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
ASUS,Intel Core i3,Windows 11 Home,16,DDR5,512 GB,15.6,"51,990","74,990",30,4.3
ASUS,AMD Ryzen 5 Quad Core,Windows 11 Home,16,LPDDR5,512 GB,14,"42,990","52,990",18,4.2
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Ultimus,Intel Pentium Quad Core,64 bit Windows 11 Home,8,DDR3,256 GB,14.1,"18,942","35,990",47,
Lenovo,Intel Core i7,Windows 11,16,LPDDR5X,1 TB,14,"69,990","1,37,090",48,3.3
ASUS,Intel Core i7,Windows 11 Home,16,DDR5,512 GB,14,"66,990","98,990",32,4.5
DELL,Intel Core 3,64 bit Windows 11 Home,8,DDR5,512 GB,14,"37,990","70,990",46,4
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Lenovo,MediaTek Kompanio 520,Chrome,8,LPDDR4X,,11.6,"22,490","39,220",42,4
