Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
Acer,Intel Core i3,Windows 11,16,DDR4,512 GB,14,"41,490","44,999",7,4.3
ZEBRONICS,Intel Core i5,Windows 11,8,DDR4,512 GB,15.6,"60,999",,,4
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Apple,Apple M3,Mac OS,16,Unified Memory,512 GB,13,"1,34,900",,,4.7
ASUS,AMD Ryzen 3 Quad Core,Windows 11,8,LPDDR5,512 GB,15.6,"35,990","50,990",29,4.2
HP,Intel Core i3,Windows 11 Home,8,DDR4,512 GB,15.6,"39,590","50,903",22,4.1
HP,AMD Ryzen 5 Quad Core,64 bit Windows 11,8,DDR4,512 GB,15.6,"39,990","55,691",28,4.1
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Acer,AMD Ryzen 3 Quad Core,Windows 11,8,DDR4,512 GB,15.6,"33,299","44,990",25,4.1
Ultimus,Intel Pentium Quad Core,64 bit Windows 11 Home,8,DDR3,256 GB,14.1,"18,942","35,990",47,
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
ASUS,Intel Core Ultra 7,Windows 11,32,LPDDR5X,1 TB,14,"1,39,990","2,42,990",42,4.8
Lenovo,Intel Core Ultra 9,Windows 11 Home,32,LPDDR5X,1 TB,14,"1,34,990","1,67,890",19,4.4
Samsung,Intel Core i7,Windows 11,16,DDR4X,512 GB,15.6,"1,09,199","1,53,990",29,4.6
Apple,Apple M3,Mac OS,8,Unified Memory,1 TB,14,"1,19,990","1,69,900",29,3.6
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Acer,Intel Core Ultra 5,64 bit Windows 11 Home,16,LPDDR5,512 GB,14,"59,990","99,999",40,4.2
Lenovo,Intel Core i7,Windows 11 Home,16,DDR5,512 GB,15.6,"82,990","1,09,990",24,4.3
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
ASUS,Intel Core 5,64 bit Windows 11 Home,32,DDR5,512 GB,15.6,"71,990","1,14,990",37,
ASUS,AMD Ryzen 9 16 Core,Windows 11 Home,16,DDR5,1 TB,16,"1,54,990","1,73,990",10,
HP,AMD Ryzen AI 5 Hexa Core,Windows 11,16,LPDDR5X,512 GB,13.3,"76,990","96,137",19,4.3
ASUS,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"43,990","74,990",41,4.2
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Lenovo,AMD Ryzen 5 Hexa Core,Windows 11,16,DDR4,512 GB,15.6,"44,590","83,238",46,4.2
MSI,Intel Core i3,Windows 11,16,DDR4,512 GB,14,"40,382","47,990",15,4.4
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
MSI,AMD Ryzen 5 Hexa Core,Windows 11,16,DDR4,512 GB,14,"42,990","66,990",35,4.3
Apple,Apple M4,Mac OS,16,Unified Memory,256 GB,13.6,"95,990","99,900",3,4.7
HP,Intel Core i5,Windows 11 Home,16,DDR4,512 GB,15.6,"64,990","75,142",13,4.2
MSI,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"49,990","70,990",29,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
DELL,Intel Core i3,64 bit Windows 11 Home,16,DDR5,512 GB,14,"44,750","68,990",35,3.6
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Acer,Intel Core i3,Windows 11,16,DDR4,1 TB,15.6,"43,990","49,990",12,4.1
Lenovo,Intel Core i5,Windows 11,8,LPDDR5,512 GB,14,"44,999","66,090",31,4.2
Apple,Apple M2,Mac OS,16,Unified Memory,256 GB,13.6,"85,900",,,4.6
MSI,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"75,990",,,4.4
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
ASUS,Intel Core 5,Windows 11,16,DDR4,512 GB,15.6,"57,290","73,990",22,4
MSI,Intel Core i7,Windows 11,16,DDR4,512 GB,15.6,"86,990",,,4.4
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
HP,Intel Core i5,Windows 11 Home,24,DDR5,512 GB,15.6,"89,990","1,05,442",14,4.3
Lenovo,Intel Core i5,Windows 11,16,LPDDR5,512 GB,14,"63,990","73,990",13,4.1
ASUS,Intel Core Ultra 5,Windows 11 Home,16,DDR5,1 TB,14,"68,990","74,990",8,4.3
HP,Intel Core Ultra 7,Windows 11 Home,16,DDR5,512 GB,14,"70,099","95,687",26,4.1
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
MSI,Intel Core i7,Windows 11,16,DDR4,512 GB,15.6,"79,990","89,990",11,4.4
MSI,Intel Core i5,64 bit Windows 11,16,DDR4,512 GB,14,"52,990","73,990",28,4.2
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
DELL,Intel Core i7,Windows 11,16,DDR4,512 GB,15.6,"68,990","73,911",6,4.3
HP,Intel Core 3,Windows 11,8,DDR4,512 GB,15.6,"54,552",,,4.5
Lenovo,AMD Ryzen 5 Hexa Core,64 bit Windows 11,8,DDR4,512 GB,15.6,"39,890","57,890",31,4.2
Acer,Intel Core i5,64 bit Windows 11 Home,16,DDR4,512 GB,15.6,"66,990","92,990",27,
Lenovo,Intel Core i5,Windows 11,16,LPDDR5,512 GB,14,"69,890",,,4.2
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Infinix,Intel Core i9,Windows 11,16,LPDDR5,512 GB,15.6,"74,990","1,29,990",42,4.1
MICROSOFT,Snapdragon X Plus,64 bit Windows 11,16,LPDDR5X,512 GB,12,"1,08,990","1,18,198",7,
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
MSI,Intel Core i7,Windows 11,16,DDR4,1 TB,15.6,"89,990",,,4.4
ASUS,Intel Core i3,64 bit Windows 11,8,DDR4,256 GB,15.6,"28,990","44,990",35,4.3
Acer,Intel Celeron Dual Core,Windows 11 Home,8,LPDDR4X,512 GB,15.6,"33,990","39,990",15,3.9
MSI,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"59,490","82,990",28,4.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Apple,Apple M4,Mac OS,24,Unified Memory,512 GB,13.6,"1,32,990","1,39,900",4,4.7
Lenovo,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,15.3,"54,990","82,890",33,4.3
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
HP,AMD Ryzen 5 Quad Core,64 bit Windows 11 Home,16,LPDDR5,512 GB,15.6,"46,990","70,990",33,5
Acer,Intel Celeron Dual Core,Windows 11,8,LPDDR4X,512 GB,15.6,"29,100","33,990",14,3.8
ASUS,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,16,"64,990","98,990",34,4.5
Acer,Intel Core i3,64 bit Windows 11 Home,16,DDR4,512 GB,15.6,"40,990","70,990",42,4.1
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Infinix,Intel Core i7,Windows 11,16,LPDDR5X,512 GB,15.3,"69,990","99,990",30,4.1
Avita,Intel Celeron Dual Core,64 bit Windows 11,4,DDR4,128 GB,14.1,"14,989","29,990",50,3.6
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
ASUS,AMD Ryzen 5 Quad Core,Windows 11,8,LPDDR5,512 GB,15.6,"37,990","66,990",43,4.2
Lenovo,Intel Core i5,64 bit Windows 11 Home,8,DDR4,512 GB,14,"49,490","88,990",44,
Lenovo,Intel Core i5,Windows 11,16,LPDDR5,512 GB,15.6,"54,938","78,590",30,4.2
ASUS,Intel Core i7,Windows 11 Home,16,DDR4,512 GB,15.6,"62,390","85,999",27,4.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Lenovo,Intel Core i5,Windows 11 Home,16,DDR5,512 GB,15.6,"79,199","85,290",7,4
DELL,Intel Core 3,64 bit Windows 11,8,DDR5,512 GB,14,"37,999","85,000",55,
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
GIGABYTE,Intel Core i7,Windows 11,16,DDR5,512 GB,16,"89,990","1,59,000",43,4.4
ASUS,AMD Ryzen 3 Quad Core,Windows 11,8,LPDDR5,512 GB,15.6,"30,990","50,990",39,4.3
HP,Intel Core i5,64 bit Windows 11,16,DDR4,512 GB,15.6,"54,990","83,705",34,3.8
Acer,Intel Core i7,64 bit Windows 11 Home,16,DDR5,512 GB,16,"94,999","1,13,899",16,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
Acer,Intel Celeron Dual Core,Windows 11,8,LPDDR4X,256 GB,15.6,"29,990","39,990",25,3.9
Lenovo,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,16,"73,990","90,890",18,
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Lenovo,Intel Core i5,Windows 11,16,LPDDR5X,1 TB,14,"79,690","1,14,690",30,4.5
HP,Intel Core i5,Windows 11,16,LPDDR5,512 GB,15.6,"70,000","99,004",29,4.3
Acer,Intel Core i5,64 bit Windows 11 Home,16,LPDDR5,1 TB,15.6,"55,990","65,990",15,4.1
Lenovo,Intel Core i5,Windows 11,16,DDR4,512 GB,14,"64,990","1,18,990",45,3.6
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
ASUS,Intel Core 5,Windows 11 Home,16,DDR5,512 GB,16,"69,990","88,990",21,
HP,AMD Ryzen 5 Hexa Core,Windows 11,8,DDR4,512 GB,15.6,"44,990","61,887",27,3.8
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
HP,AMD Athlon Dual Core,64 bit Windows 11,8,LPDDR5,256 GB,15.6,"35,999","45,999",21,4
Acer,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"48,954","69,999",30,3.9
Acer,AMD Ryzen 3 Quad Core,Windows 11,8,DDR4,256 GB,15.6,"39,773","49,999",20,4.2
ASUS,AMD Ryzen AI 9 12 Core,Windows 11 Home,32,LPDDR5X,2 TB,14,"2,79,990","2,99,990",6,4.7
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
DELL,Intel Core i3,64 bit Windows 11 Home,8,DDR5,512 GB,14,"37,990","65,990",42,4
ASUS,AMD Ryzen 3 Quad Core,Windows 11 Home,8,LPDDR5,512 GB,14,"35,990","43,990",18,4.2
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
ASUS,Intel Core i3,Windows 11,8,DDR4,512 GB,15.6,"30,990","54,990",43,4.3
ASUS,AMD Ryzen 5 Quad Core,Windows 11 Home,8,LPDDR5,512 GB,15.6,"38,990","48,990",20,4.3
Apple,Apple M4,Mac OS,16,Unified Memory,256 GB,15.3,"1,18,990","1,24,900",4,4.7
Infinix,Intel Core i5,Windows 11,16,LPDDR5X,512 GB,15.6,"63,990","79,990",20,4.1
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
MSI,Intel Core i3,Windows 11,8,DDR4,512 GB,14,"42,990","47,990",10,4.2
Acer,Intel Core i5,Windows 11,16,DDR4,1 TB,15.6,"52,909","59,990",11,3.9
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
Acer,Intel Core i5,64 bit Windows 11 Home,16,DDR5,512 GB,16,"84,999","1,02,799",17,4.2
Lenovo,AMD Ryzen 5 Quad Core,Windows 11,24,DDR5,512 GB,15.6,"76,498","89,990",14,4.4
HP,Intel Core i5,Windows 11,16,LPDDR5X,512 GB,16,"60,990","82,575",26,4.5
MSI,AMD Ryzen 5 Hexa Core,Windows 11,8,DDR4,512 GB,14,"47,590","64,990",26,4.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Lenovo,Intel Core i7,Windows 11,16,DDR5,512 GB,15.3,"72,990","89,390",18,
ASUS,Intel Core i3,Windows 11 Home,8,DDR4,512 GB,15.6,"49,855","59,990",16,4.3
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
DELL,AMD Ryzen 5 Quad Core,64 bit Windows 11,8,LPDDR5,512 GB,15.6,"39,750","64,990",38,
Lenovo,Intel Core i7,Windows 11,16,LPDDR5,1 TB,16,"79,990","1,25,890",36,4.2
ASUS,AMD Ryzen 5 Quad Core,Windows 11,8,LPDDR5,512 GB,15.6,"40,990","74,990",45,4.4
HP,AMD Ryzen 5 Quad Core,64 bit Windows 11,16,LPDDR5,512 GB,15.6,"46,990","70,990",33,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
DELL,Intel Core i7,Windows 11,16,DDR4,512 GB,15.6,"68,990","73,911",6,4.3
HP,Intel Core i3,Windows 11 Home,8,DDR4,512 GB,15.6,"38,490","44,990",14,4.2
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
HP,Intel Core i5,Windows 11,16,LPDDR5,512 GB,15.6,"74,999","1,10,245",31,4.3
HP,Intel Core i3,64 bit Windows 11,8,DDR4,512 GB,15.6,"37,490","47,553",21,4.1
ASUS,Intel Core i7,Windows 11 Home,16,DDR5,512 GB,14,"66,990","98,990",32,4.5
MSI,Intel Core 7,64 bit Windows 11,16,DDR5,1 TB,15.6,"1,02,990","1,16,990",11,
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
DELL,Intel Core i3,64 bit Windows 11,16,DDR5,512 GB,14,"45,990","70,990",35,4.3
Acer,AMD Ryzen 3 Quad Core,Windows 11,16,DDR4,512 GB,15.6,"36,855","59,999",38,3.9
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Lenovo,Intel Core i7,Windows 11,16,LPDDR5X,1 TB,14,"69,990","1,37,090",48,3.3
Acer,AMD Ryzen 7 Octa Core,Windows 11 Home,16,DDR4,512 GB,15.6,"44,990","59,999",25,
ASUS,AMD Ryzen 3 Quad Core,Windows 11 Home,16,LPDDR5,512 GB,15.6,"35,990","37,990",5,4.2
ASUS,AMD Ryzen 3 Quad Core,Windows 11,8,LPDDR5,512 GB,15.6,"41,990","61,990",32,4.4
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
ASUS,Intel Celeron Dual Core,Chrome,4,LPDDR4X,,15.6,"21,399","32,990",35,3.8
MSI,Intel Core i7,Windows 11,32,DDR5,1 TB,16,"1,72,990","1,93,990",10,4.5
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
Acer,Intel Core Ultra 5,64 bit Windows 11 Home,16,LPDDR5,512 GB,14,"59,990","94,990",36,4.2
ASUS,Intel Core i7,Windows 11 Home,32,DDR5,1 TB,14,"92,990","1,19,990",22,4.4
MSI,AMD Ryzen 5 Hexa Core,Windows 11,16,DDR5,512 GB,15.6,"61,990","78,990",21,4.4
Lenovo,AMD Ryzen 7 Octa Core,Windows 11,24,DDR5,512 GB,15.6,"1,03,290","1,27,990",19,4.5
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
HP,Intel Core i3,64 bit Windows 11,8,DDR4,512 GB,15.6,"32,990","51,134",35,4.2
Acer,AMD Ryzen 3 Quad Core,Windows 11,16,DDR4,512 GB,15.6,"35,990","50,990",29,4.1
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
Apple,Apple M3,Mac OS,8,Unified Memory,512 GB,14,"1,42,990","1,69,900",15,4.1
HP,AMD Ryzen AI 5 Hexa Core,Windows 11 Home,16,DDR5,512 GB,15.6,"62,990","76,295",17,4.4
ASUS,Intel Core i7,Windows 11,16,DDR4,512 GB,16,"65,990","79,999",17,4.3
HP,AMD Ryzen 5 Hexa Core,64 bit Windows 11,16,DDR4,512 GB,15.6,"47,900","62,153",22,4.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
MSI,Intel Core i3,64 bit Windows 11,16,DDR4,512 GB,14,"44,990","58,990",23,4.4
DELL,Intel Core 3,64 bit Windows 11,8,DDR5,512 GB,15.6,"38,390","49,400",22,3.8
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Lenovo,Intel Core Ultra 7,Windows 11,32,LPDDR5X,1 TB,14,"99,990","1,46,890",31,4.2
ASUS,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,1 TB,14,"1,04,990","1,35,990",22,4.9
MSI,Intel Core i7,Windows 11,16,DDR5,1 TB,16,"1,62,990",,,4.7
HP,AMD Ryzen 5 Quad Core,32 bit Windows 11 Home,8,DDR4,512 GB,14,"38,750","59,980",35,4.1
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
HP,Intel Core i5,64 bit Windows 10,8,DDR4,1 TB,15.6,"59,297","59,999",1,4.4
DELL,Intel Core i5,64 bit Windows 11,8,LPDDR5,512 GB,14,"59,990","68,089",11,4
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
ASUS,Intel Core i3,Windows 11 Home,16,DDR4,512 GB,15.6,"46,990","54,990",14,5
HP,AMD Ryzen 9 16 Core,Windows 11 Home,24,DDR5,1 TB,16,"1,58,990","1,74,237",8,
HP,Intel Pentium Quad Core,Windows 11,8,DDR4,512 GB,15.6,"38,990","39,999",2,
MSI,AMD Ryzen 5 Hexa Core,Windows 11,16,DDR5,512 GB,15.6,"65,990","72,990",9,4.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Lenovo,Intel Core i5,Windows 11,16,DDR5,512 GB,15.6,"76,990","1,01,090",23,4.4
Lenovo,AMD Ryzen 5 Quad Core,Windows 11,12,DDR5,512 GB,15.6,"69,000","89,890",23,4.4
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Acer,Intel Core i7,Windows 11,16,DDR5,1 TB,16,"1,46,999","1,98,999",26,4.4
Ultimus,Intel Dual Core,64 bit Windows 11 Home,4,DDR4,,14.1,"14,240","24,990",43,3.6
MSI,AMD Ryzen 5 Hexa Core,Windows 11,8,DDR4,512 GB,14,"38,990","61,990",37,4.4
ASUS,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"53,780","65,654",18,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
HP,MediaTek MT8183,Chrome,4,LPDDR4X,,11.6,"17,399","34,999",50,3.7
ASUS,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"55,991","75,990",26,4.2
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
Acer,Intel Core i3,Windows 11 Home,8,DDR4,512 GB,15.6,"38,990","49,990",22,4.2
HP,Intel Core i3,Windows 11,16,DDR4,512 GB,15.6,"43,442","49,990",13,4.2
HP,AMD Ryzen 3 Dual Core,64 bit Windows 11,8,DDR4,512 GB,15.6,"38,890","47,990",18,4.1
ASUS,Intel Core Ultra 5,Windows 11 Home,16,DDR5,512 GB,14,"65,990","92,990",29,4.4
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
Acer,Intel Core 5,64 bit Windows 11 Home,16,DDR4,512 GB,15.6,"84,990","84,999",,4.4
Lenovo,AMD Ryzen 5 Hexa Core,Windows 11,8,DDR4,512 GB,15.6,"54,799","68,400",19,2.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
ASUS,Intel Core i3,Windows 11 Home,16,DDR5,512 GB,15.6,"46,990","54,990",14,4.2
Lenovo,Intel Core i5,Windows 11,16,DDR5,512 GB,15.6,"94,990","1,09,990",13,4.4
ASUS,Intel Core i5,Windows 11 Home,16,DDR5,512 GB,14,"56,990","90,990",37,4.4
HP,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"55,989","69,999",20,
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Lenovo,Intel Core i7,Windows 11 Home,16,DDR5,512 GB,15.6,"1,17,990","1,31,290",10,4.3
ASUS,AMD Ryzen 5 Quad Core,Windows 11,16,LPDDR5,512 GB,15.6,"48,999","68,999",28,3.9
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
